127.0.0.1 - - [30/Oct/2023:16:06:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:06:57 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:06:57 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:07:02 +0530] "GET /Spring-MVC-demo/open-home?view=register HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:07:55 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:07:55 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:07:55 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:07:56 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:07:56 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:07:56 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:07:56 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:07:56 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:07:56 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:07:56 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:07:57 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:07:58 +0530] "GET /Spring-MVC-demo/open-home?view=register HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:01 +0530] "GET /Spring-MVC-demo/open-home?view=register HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:01 +0530] "GET /Spring-MVC-demo/open-home?view=register HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:22 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:23 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:23 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:23 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:23 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:23 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:23 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:23 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:24 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:24 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:24 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:24 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:24 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:24 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:24 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:24 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:25 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:25 +0530] "GET /Spring-MVC-demo/ HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:26 +0530] "GET /Spring-MVC-demo/open-home?view=register HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [30/Oct/2023:16:08:52 +0530] "GET /Spring-MVC-demo/register?name=Chandu&phone=9876543210&email=chandunaiduj999%40gmail.com&age=22&gender=Male&password=Chandu63%40 HTTP/1.1" 200 21
