127.0.0.1 - - [01/Nov/2023:20:50:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:50:21 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:50:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:50:28 +0530] "GET /User-MVC-demo/test HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:50:31 +0530] "GET /User-MVC-demo/test-db-cfg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:50:37 +0530] "GET /User-MVC-demo/test-db-cfg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:50:38 +0530] "GET /User-MVC-demo/test-db-cfg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:21 +0530] "GET /User-MVC-demo/test-db-cfg HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:21 +0530] "GET /User-MVC-demo/test-db-cfg HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:26 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:26 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:26 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:26 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:26 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:27 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:27 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:27 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:27 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:27 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:27 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:28 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:28 +0530] "GET /User-MVC-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:29 +0530] "GET /User-MVC-demo/test-db-cfg HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:34 +0530] "GET /User-MVC-demo/test HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [01/Nov/2023:20:51:38 +0530] "GET /User-MVC-demo/test-db-cfg HTTP/1.1" 200 50
